Timestamp,tello_pos,mic1_pos,mic2_pos,mic3_pos,mic4_pos,mic5_pos,mic6_pos,mic7_pos,mic8_pos,mic9_pos,mic10_pos,mic11_pos,mic12_pos,mic1_dist,mic2_dist,mic3_dist,mic4_dist,mic5_dist,mic6_dist,mic7_dist,mic8_dist,mic9_dist,mic10_dist,mic11_dist,mic12_dist,mic1_db,mic2_db,mic3_db,mic4_db,mic5_db,mic6_db,mic7_db,mic8_db,mic9_db,mic10_db,mic11_db,mic12_db,mic1_timestamp,mic2_timestamp,mic3_timestamp,mic4_timestamp,mic5_timestamp,mic6_timestamp,mic7_timestamp,mic8_timestamp,mic9_timestamp,mic10_timestamp,mic11_timestamp,mic12_timestamp
"builtin_interfaces.msg.Time(sec=1734159331, nanosec=682012822)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.03,2.34,2.14,2.17,-35.284380145036636,-38.005679320285985,0.0,0.0,0.0,-40.250948076873826,-32.74729843822119,-41.00609793382464,0.0,0.0,0.0,-52.64516868774881,,,,,,,,,,"builtin_interfaces.msg.Time(sec=1734159331, nanosec=551520188)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=546516046)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=552479111)"
"builtin_interfaces.msg.Time(sec=1734159331, nanosec=782082757)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-46.07110294283466,-46.1071688730804,0.0,0.0,0.0,-46.845279557482016,-42.0516455932599,-42.86358367600049,0.0,0.0,0.0,-52.64516868774881,,,,,,,,,,"builtin_interfaces.msg.Time(sec=1734159331, nanosec=646523174)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=651530859)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=647460544)"
"builtin_interfaces.msg.Time(sec=1734159331, nanosec=883305600)",[ 0.85 -7.58 -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-36.881988681081445,-48.532156268217186,-42.570195929029964,-38.633980947971246,-36.96115335836222,-39.93509880481797,-34.34452539965642,-45.91689554801163,-36.65619649648805,-39.42448099596428,-37.36992794451163,-37.78542796750274,"builtin_interfaces.msg.Time(sec=1734159331, nanosec=742557382)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=748514906)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=743574040)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=749514469)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=744550964)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=749627186)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=544566844)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=750490551)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=545524619)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=751529034)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=746532511)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=752544944)"
"builtin_interfaces.msg.Time(sec=1734159331, nanosec=982943261)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-47.908097275278195,-35.95637576693827,-41.986544731349376,-37.96412845730802,-39.024327266348166,-36.84409293310436,-39.55998893576454,-40.74704648785256,-39.02403663022785,-37.120644119848436,-36.68477425077414,-37.64463843251293,"builtin_interfaces.msg.Time(sec=1734159331, nanosec=847696210)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=843548840)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=852064125)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=844523533)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=851346504)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=844645677)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=849520426)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=845510784)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=851641491)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=846546958)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=851824137)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=847483002)"
"builtin_interfaces.msg.Time(sec=1734159332, nanosec=81075393)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.23],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-47.17202810063087,-46.57287723712773,-47.79697813683085,-47.78478086031999,-46.47408741040622,-50.11402479372974,-43.57263231905205,-47.12117399683181,-43.866165509709916,-45.80219300692843,-46.836429045344026,-51.67046855743781,"builtin_interfaces.msg.Time(sec=1734159331, nanosec=942490960)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=948545250)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=943507527)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=949469950)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=944496730)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=949581826)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=944600349)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=950504077)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=945601344)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=951538608)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=946617552)","builtin_interfaces.msg.Time(sec=1734159331, nanosec=952472742)"
"builtin_interfaces.msg.Time(sec=1734159332, nanosec=181856436)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-41.082578330003116,-49.11092501711232,-38.37668166710868,-42.88258737501834,-40.086118782876724,-42.18173426699727,-35.83207389895137,-53.64308142670776,-38.904297176611216,-41.604554200306616,-39.58424943530814,-48.23870718146289,"builtin_interfaces.msg.Time(sec=1734159332, nanosec=47455964)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=43490244)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=48515841)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=44521096)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=49529368)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=44634866)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=49646802)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=45481310)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=50498744)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=46535068)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=51530604)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=47555447)"
"builtin_interfaces.msg.Time(sec=1734159332, nanosec=282062453)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-51.55488229782538,-37.373410859885645,-52.848725415445735,-43.51364865229328,-39.16844661510187,-49.30662432920865,-40.59644493556938,-43.91569954682063,-45.67056227511074,-48.30108291186833,-41.415599988947264,-47.13221149199968,"builtin_interfaces.msg.Time(sec=1734159332, nanosec=142493280)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=148521052)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=143501239)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=149486427)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=144640390)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=149594715)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=144545091)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=150516063)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=145508007)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=151533792)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=146538355)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=152538830)"
"builtin_interfaces.msg.Time(sec=1734159332, nanosec=384347644)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.03,2.34,2.14,2.17,-44.731234520713656,-41.07466774696806,-41.544336048291655,-37.99009779081106,-40.662864520682646,-37.03905210447462,-45.53022941722439,-38.24436630757915,-42.95819109633903,-36.70109153754944,-40.497895332892895,-41.986540664092864,"builtin_interfaces.msg.Time(sec=1734159332, nanosec=247465054)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=243527654)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=248494482)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=244595190)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=249483359)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=244496211)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=249583509)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=245516557)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=250543821)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=246513576)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=251508563)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=247697475)"
"builtin_interfaces.msg.Time(sec=1734159332, nanosec=482145765)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-48.158731684179955,-46.339311975638786,-48.93116311766966,-50.20805883451746,-48.940295231619785,-45.94158852257987,-52.07752593931109,-50.51318144953608,-48.83531285417089,-49.118588575410854,-51.5584068576285,-46.61822501538314,"builtin_interfaces.msg.Time(sec=1734159332, nanosec=342492018)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=348568740)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=343521591)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=349492109)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=344511662)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=349704457)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=344628714)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=350534459)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=345531283)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=351543715)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=346535014)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=352444658)"
"builtin_interfaces.msg.Time(sec=1734159332, nanosec=581213365)",[ 0.85 -7.58 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.76,2.33,1.83,1.99,1.86,2.07,1.69,2.15,2.02,2.34,2.14,2.17,-48.07896756659651,-42.882934030117,-43.84292417139054,-46.41779558960219,-41.735475233741695,-47.00843793658288,-44.23253984768155,-45.76540415011066,-43.578522119609815,-41.712582517357276,-48.115062822428655,-46.90953969338273,"builtin_interfaces.msg.Time(sec=1734159332, nanosec=447639519)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=443535880)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=448575968)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=444535509)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=449492522)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=444619698)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=449632071)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=445534083)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=450539961)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=446527813)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=451513713)","builtin_interfaces.msg.Time(sec=1734159332, nanosec=447550939)"
