Timestamp,tello_pos,mic1_pos,mic2_pos,mic3_pos,mic4_pos,mic5_pos,mic6_pos,mic7_pos,mic8_pos,mic9_pos,mic10_pos,mic11_pos,mic12_pos,mic1_dist,mic2_dist,mic3_dist,mic4_dist,mic5_dist,mic6_dist,mic7_dist,mic8_dist,mic9_dist,mic10_dist,mic11_dist,mic12_dist,mic1_db,mic2_db,mic3_db,mic4_db,mic5_db,mic6_db,mic7_db,mic8_db,mic9_db,mic10_db,mic11_db,mic12_db,mic1_timestamp,mic2_timestamp,mic3_timestamp,mic4_timestamp,mic5_timestamp,mic6_timestamp,mic7_timestamp,mic8_timestamp,mic9_timestamp,mic10_timestamp,mic11_timestamp,mic12_timestamp
"builtin_interfaces.msg.Time(sec=1734161071, nanosec=953750333)",[ 0.81 -7.64  0.57],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.57,2.58,1.69,1.71,1.89,1.79,1.62,1.88,1.98,2.12,1.89,2.04,-38.7834373845537,-37.207207072251,-38.13473517739259,-37.09116884899765,-40.829648061136865,-38.931760046204246,-36.971567279013534,-43.226307411092534,-32.92367012941252,-34.72460072080837,-38.067270390800005,-39.08068584369847,"builtin_interfaces.msg.Time(sec=1734161071, nanosec=798208901)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=802104391)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=798520835)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=803126767)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=798333475)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=803265080)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=799132976)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=804127618)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=800125311)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=805172008)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=801141951)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=806122134)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=53828732)",[ 0.81 -7.64  0.6 ],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.56,2.58,1.69,1.7,1.89,1.77,1.62,1.87,1.98,2.11,1.87,2.04,-38.60287877710134,-31.427405385843667,-38.829430870839865,-31.3340978023078,-36.660790733626015,-32.03540317489455,-33.35659447087896,-35.32457103187656,-30.262423354924415,-33.00775098743308,-32.54689102043936,-35.83231320408275,"builtin_interfaces.msg.Time(sec=1734161071, nanosec=904546337)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=898750217)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=903835039)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=898353274)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=904284287)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=898967991)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=904115106)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=901482004)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=907499567)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=910132203)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=907152699)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=911104998)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=153821169)",[ 0.8  -7.64  0.62],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.55,2.57,1.69,1.69,1.9,1.76,1.62,1.86,1.97,2.1,1.87,2.04,-37.08291435466085,-33.929300380644335,-36.20854516699495,-37.14976353317126,-34.31591323280024,-37.0650307105078,-34.03865022788112,-37.06066805418401,-33.63524621628851,-34.3048482618959,-34.86849399914732,-42.59531620329157,"builtin_interfaces.msg.Time(sec=1734161071, nanosec=998976578)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=2061951)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=999106701)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=3239547)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=998241029)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=3138710)","builtin_interfaces.msg.Time(sec=1734161071, nanosec=999224089)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=4129330)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=497674)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=5139880)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=1153376)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=6062324)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=256556412)",[ 0.8  -7.65  0.63],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.56,2.57,1.7,1.7,1.91,1.77,1.63,1.86,1.98,2.11,1.88,2.05,-37.962624152370864,-36.64489579040206,-37.58054847903009,-36.46796576479438,-41.098114540863016,-36.65538901199953,-37.87470309534142,-40.2385454734914,-33.787503436438506,-37.602189102685585,-36.68622519091353,-40.315808179853306,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=102234890)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=97091124)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=102120560)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=98253636)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=103102641)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=98135269)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=104116209)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=99156829)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=105132177)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=100165024)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=106135342)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=101133812)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=353700733)",[ 0.79 -7.66  0.65],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.56,2.57,1.71,1.7,1.92,1.76,1.63,1.86,1.99,2.1,1.88,2.06,-38.57024475147287,-32.880281639199055,-35.82772350000433,-36.58209103571061,-38.054365107282464,-36.331979288092626,-35.54236011982799,-42.13228242380269,-31.68515925804813,-35.76774227907576,-34.19820999829539,-41.01201193555056,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=197409291)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=202109476)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=197181603)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=203123844)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=198143583)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=203240090)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=199145556)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=204146863)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=200147572)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=205148609)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=201194710)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=206117583)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=454771244)",[ 0.79 -7.68  0.66],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.57,2.59,1.72,1.71,1.94,1.78,1.65,1.88,2.01,2.12,1.89,2.07,-35.731036650312646,-36.053184878259216,-37.8534406956265,-36.83189197817603,-40.84991773228913,-39.814179191523856,-36.520549455737566,-44.00531442744701,-32.44989875937905,-38.02741418610156,-37.29015776071875,-40.29305544072854,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=304776813)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=297232916)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=302098342)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=298308072)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=303175660)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=298186467)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=305069475)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=299153313)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=305201979)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=300185691)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=306171658)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=301360207)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=557914634)",[ 0.78 -7.7   0.67],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.58,2.6,1.74,1.73,1.97,1.79,1.67,1.89,2.03,2.13,1.91,2.09,-35.58728086239316,-36.03422107438646,-33.023851870532525,-34.324916279754106,-37.33919818180694,-33.37374961231597,-36.376870124444395,-42.26403822610816,-33.05320903541695,-34.68429089306467,-37.29015776071875,-40.29305544072854,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=397593543)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=402139091)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=397853890)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=403131312)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=398897720)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=403210690)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=400010383)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=404150366)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=400645226)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=405174310)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=306171658)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=301360207)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=653715354)",[ 0.77 -7.73  0.69],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.6,2.61,1.77,1.75,2.0,1.8,1.69,1.91,2.05,2.15,1.93,2.12,-39.40782468689497,-37.18931996483111,-38.724119820354524,-37.2704973883937,-36.895703051304885,-36.69836137870791,-34.60389261547107,-41.41170666619463,-34.21864650983876,-34.85407833793231,-36.64639836631333,-42.82852889809572,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=503849070)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=502268272)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=505760812)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=503083026)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=510553448)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=516439624)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=524330961)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=530913037)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=543856998)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=555875819)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=556056582)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=555526073)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=753879939)",[ 0.76 -7.76  0.7 ],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.62,2.63,1.8,1.78,2.03,1.82,1.72,1.93,2.08,2.17,1.96,2.15,-34.797550549929376,-29.877979508607204,-33.03332622774052,-32.72101982665109,-31.68539157441416,-32.07550023268734,-32.09885228060943,-33.20430263839078,-31.75591084777773,-31.634190239158713,-32.240938220112916,-38.739775871426396,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=597328070)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=602059453)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=597137125)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=603225798)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=598097150)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=603108550)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=599274295)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=604128472)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=600151648)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=607947486)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=601171025)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=606169992)"
"builtin_interfaces.msg.Time(sec=1734161072, nanosec=853677202)",[ 0.75 -7.78  0.71],[-0.48 -5.52  1.24],[-0.48 -5.5   1.23],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.2  -5.76  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.68 -5.83  0.94],2.63,2.64,1.82,1.8,2.06,1.83,1.73,1.95,2.1,2.18,1.98,2.17,-34.735940316537956,-34.13982549148797,-34.05499660734887,-36.15216601038342,-36.47032378879507,-33.71830553606719,-34.39594351696875,-37.74097935349196,-34.95740320251153,-33.89328932141205,-33.34139489494766,-39.10974026178057,"builtin_interfaces.msg.Time(sec=1734161072, nanosec=702175960)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=697119500)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=702079364)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=698128347)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=703180523)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=698207799)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=704149296)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=699159977)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=705167671)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=700191118)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=706180986)","builtin_interfaces.msg.Time(sec=1734161072, nanosec=701122595)"
