Timestamp,tello_pos,mic1_pos,mic2_pos,mic3_pos,mic4_pos,mic5_pos,mic6_pos,mic7_pos,mic8_pos,mic9_pos,mic10_pos,mic11_pos,mic12_pos,mic1_dist,mic2_dist,mic3_dist,mic4_dist,mic5_dist,mic6_dist,mic7_dist,mic8_dist,mic9_dist,mic10_dist,mic11_dist,mic12_dist,mic1_db,mic2_db,mic3_db,mic4_db,mic5_db,mic6_db,mic7_db,mic8_db,mic9_db,mic10_db,mic11_db,mic12_db,mic1_timestamp,mic2_timestamp,mic3_timestamp,mic4_timestamp,mic5_timestamp,mic6_timestamp,mic7_timestamp,mic8_timestamp,mic9_timestamp,mic10_timestamp,mic11_timestamp,mic12_timestamp
"builtin_interfaces.msg.Time(sec=1734154991, nanosec=554167415)",[ 0.02 -5.2   1.34],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.77  1.24],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.6,1.15,2.0,1.74,1.76,0.96,1.22,0.87,0.58,0.59,1.58,1.81,-38.179594806826174,-38.99271799828624,-38.07532390345213,-38.83298399899368,-32.504504463997975,-31.435441617003175,-35.555086691809265,-32.74943404825915,-40.82851692699297,-34.89646226896885,-39.58126028345153,-37.37233720557838,"builtin_interfaces.msg.Time(sec=1734154991, nanosec=442416570)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=446492104)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=446729122)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=454609368)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=455945141)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=452370636)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=456934097)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=456577200)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=452150707)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=456158806)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=463021859)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=458881509)"
"builtin_interfaces.msg.Time(sec=1734154991, nanosec=654443075)",[ 0.02 -5.2   1.35],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.77  1.24],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.6,1.15,2.01,1.74,1.76,0.96,1.23,0.87,0.58,0.59,1.58,1.81,-41.575275403916876,-40.31254886619246,-34.803144022010166,-36.99538047493454,-32.05185636611831,-29.844836978794092,-32.97018413039538,-28.318727526594536,-37.93344832873356,-33.520150522434456,-37.47401283847661,-38.026431238389556,"builtin_interfaces.msg.Time(sec=1734154991, nanosec=547578598)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=549880723)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=542012707)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=549339771)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=560968414)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=547323770)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=551922795)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=550939451)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=555965246)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=551251828)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=549492705)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=553942900)"
"builtin_interfaces.msg.Time(sec=1734154991, nanosec=755254831)",[ 0.02 -5.2   1.36],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.77  1.24],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.16,2.01,1.74,1.77,0.96,1.23,0.87,0.58,0.59,1.58,1.82,-41.443294786145515,-39.446173255104455,-37.29135632904611,-38.68071928121978,-29.299913820646466,-33.33994508805739,-29.516235207863755,-30.02222484175361,-39.19518670701548,-37.20475229186982,-38.934862958011486,-39.11552410325447,"builtin_interfaces.msg.Time(sec=1734154991, nanosec=644536995)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=644252466)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=645920411)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=653939263)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=655911492)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=649975127)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=657051472)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=656270585)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=651260777)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=656069101)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=663001058)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=650864320)"
"builtin_interfaces.msg.Time(sec=1734154991, nanosec=854087869)",[ 0.02 -5.19  1.37],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.77  1.24],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.17,2.02,1.74,1.78,0.97,1.25,0.88,0.6,0.6,1.59,1.82,-39.04394453342762,-38.07522019885176,-39.84104340517464,-37.212759569183675,-31.869813905280555,-31.853240590640958,-33.64593346202726,-30.428513382248514,-36.22393193804305,-36.91731701257295,-38.7843783332464,-35.89198031236884,"builtin_interfaces.msg.Time(sec=1734154991, nanosec=748343276)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=749222397)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=744938033)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=750041866)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=744517856)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=747446458)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=753169361)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=753284957)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=755970235)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=752691757)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=749377534)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=753946717)"
"builtin_interfaces.msg.Time(sec=1734154991, nanosec=966854905)",[ 0.01 -5.19  1.37],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.77  1.24],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.6,1.16,2.02,1.75,1.78,0.97,1.25,0.88,0.6,0.61,1.6,1.83,-38.47015748066946,-35.277085391142606,-35.355289266355314,-37.29790281414037,-31.869813905280555,-31.853240590640958,-33.64593346202726,-30.428513382248514,-36.22393193804305,-36.91731701257295,-38.7843783332464,-35.89198031236884,"builtin_interfaces.msg.Time(sec=1734154991, nanosec=844482016)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=844725189)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=846277375)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=853951215)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=744517856)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=747446458)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=753169361)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=753284957)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=755970235)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=752691757)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=749377534)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=753946717)"
"builtin_interfaces.msg.Time(sec=1734154992, nanosec=54310149)",[ 0.01 -5.18  1.38],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.77  1.24],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.17,2.03,1.76,1.79,0.98,1.26,0.89,0.61,0.62,1.6,1.84,-35.29735631543919,-38.830779120686145,-37.187400969685186,-34.55723831645322,-31.78117433020789,-31.370520269487542,-30.795488809996485,-30.959028110807537,-34.80834061554187,-33.14538452057732,-36.32987323173419,-35.98656383012687,"builtin_interfaces.msg.Time(sec=1734154991, nanosec=950375406)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=949602112)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=952199517)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=952572085)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=962863197)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=968425605)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=973241952)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=980296176)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=975016824)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=980134261)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=968662630)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=973063315)"
"builtin_interfaces.msg.Time(sec=1734154992, nanosec=154649576)",[ 0.   -5.17  1.38],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.17,2.05,1.77,1.81,0.99,1.27,0.91,0.63,0.63,1.62,1.85,-38.525792470674446,-39.85779953177606,-33.745118691133726,-40.42364040640433,-31.78117433020789,-31.370520269487542,-30.795488809996485,-30.959028110807537,-34.80834061554187,-33.14538452057732,-36.32987323173419,-35.98656383012687,"builtin_interfaces.msg.Time(sec=1734154992, nanosec=44929265)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=44484391)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=45912367)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=54024986)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=962863197)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=968425605)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=973241952)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=980296176)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=975016824)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=980134261)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=968662630)","builtin_interfaces.msg.Time(sec=1734154991, nanosec=973063315)"
"builtin_interfaces.msg.Time(sec=1734154992, nanosec=254121933)",[-0.   -5.17  1.38],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.17,2.05,1.77,1.81,0.99,1.27,0.91,0.63,0.63,1.62,1.85,-34.0349142271722,-31.935293570508215,-33.98032332648783,-32.37055135993224,-29.076232457587885,-31.381615357439486,-30.688580918177045,-28.069467604334516,-29.448340944278762,-32.41271184735654,-31.736950259380087,-31.91526929721171,"builtin_interfaces.msg.Time(sec=1734154992, nanosec=147498839)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=151863602)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=145534787)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=151388287)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=153125198)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=166078082)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=155382327)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=158007500)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=175036560)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=162132459)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=168148482)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=172909387)"
"builtin_interfaces.msg.Time(sec=1734154992, nanosec=354090513)",[-0.01 -5.16  1.38],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.18,2.06,1.79,1.82,1.01,1.28,0.92,0.64,0.64,1.63,1.86,-36.9171264161261,-36.23652849824865,-35.00347601625538,-38.759586968766314,-30.832434549740757,-29.700226239490796,-34.48037994831256,-31.93872156894812,-38.280004083782316,-33.93275144467859,-38.37046200999903,-37.28439285033947,"builtin_interfaces.msg.Time(sec=1734154992, nanosec=242364821)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=244062795)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=246591197)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=253960101)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=255870002)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=251951156)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=256951710)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=255946931)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=250991706)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=256356408)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=263125638)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=248913252)"
"builtin_interfaces.msg.Time(sec=1734154992, nanosec=454425890)",[-0.02 -5.15  1.38],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.05 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],0.61,1.18,2.07,1.8,1.83,1.02,1.29,0.93,0.65,0.65,1.64,1.87,-38.511880097826506,-38.2981535932306,-36.431286944650275,-37.55281113450632,-29.07071883048349,-32.57433851102319,-31.997464338240103,-30.60969106215801,-36.11736526999558,-33.53151595063426,-37.61139477785981,-35.335028464129834,"builtin_interfaces.msg.Time(sec=1734154992, nanosec=346924478)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=348903011)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=342309208)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=349169003)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=342920308)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=347055117)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=351910154)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=351090072)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=355957537)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=350978285)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=349248659)","builtin_interfaces.msg.Time(sec=1734154992, nanosec=353897632)"
