Timestamp,tello_pos,mic1_pos,mic2_pos,mic3_pos,mic4_pos,mic5_pos,mic6_pos,mic7_pos,mic8_pos,mic9_pos,mic10_pos,mic11_pos,mic12_pos,mic1_dist,mic2_dist,mic3_dist,mic4_dist,mic5_dist,mic6_dist,mic7_dist,mic8_dist,mic9_dist,mic10_dist,mic11_dist,mic12_dist,mic1_db,mic2_db,mic3_db,mic4_db,mic5_db,mic6_db,mic7_db,mic8_db,mic9_db,mic10_db,mic11_db,mic12_db,mic1_timestamp,mic2_timestamp,mic3_timestamp,mic4_timestamp,mic5_timestamp,mic6_timestamp,mic7_timestamp,mic8_timestamp,mic9_timestamp,mic10_timestamp,mic11_timestamp,mic12_timestamp
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=377344003)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-38.59757774830922,-37.5023869702561,-45.28881019363487,-42.40782513516326,-37.98481393659118,-49.152456310870065,-36.8227651210869,-41.59798459992379,-34.014146367670115,-41.44093775454783,-38.222460157182944,-42.78159645081,,,,,,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=245157386)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=240135027)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=245289670)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=240226664)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=246196096)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=241154788)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=247174061)"
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=477237945)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-44.27279938009437,-45.6021855071965,-43.752234051136114,-41.520694783674,-43.737039635309955,-45.75183084493893,-38.72216165445945,-42.90217392727556,-40.474400644954926,-43.02935171094279,-45.19017421991383,-49.40002607611974,,,,,,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=340257403)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=345281702)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=340168278)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=345419425)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=341151804)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=346237309)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=342146098)"
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=577269164)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-41.36062717798991,-40.76849382417964,-45.27425575446637,-48.83643202184086,-48.48431251095752,-39.086997242196105,-48.47597613739482,-45.66119223167789,-37.58852877691983,-43.4404235138327,-40.71158471930181,-44.12588596463728,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=438696452)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=443157250)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=438878138)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=444198525)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=439338532)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=445173683)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=440167654)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=445323189)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=440274590)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=446194209)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=441183190)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=447106056)"
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=677184779)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-44.01359604547337,-39.17039259951703,-44.72743204686664,-47.86138885941274,-45.654502092158594,-50.23287118841417,-41.25646119609938,-50.46571722069777,-41.55992457603666,-45.737645240164106,-46.017833176317914,-41.24215496785018,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=545435106)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=538141010)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=545230508)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=539132600)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=545718987)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=540205924)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=545908023)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=540374104)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=545555279)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=541218029)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=546270297)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=542083995)"
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=777022375)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.42,2.42,2.22,2.25,-40.522705380399245,-41.71347913518637,-45.76497291291578,-47.242348889820875,-45.19379131894473,-37.052340503068365,-36.58574690518152,-42.0192122718311,-40.7239346389766,-37.62329861813551,-38.46499511130008,-44.69685601504586,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=638167359)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=643150530)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=638284826)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=644117379)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=639242265)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=645119158)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=640150471)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=645279331)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=640340460)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=646148532)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=641180241)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=647178609)"
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=877025714)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.42,2.42,2.22,2.25,-40.8930467278806,-35.7366430360971,-45.31937503303615,-38.29132605491119,-40.98040895330116,-43.83679828644542,-31.963634182114507,-44.20044662215432,-34.56245071774226,-44.66206095951621,-40.27112242048612,-50.768910298865784,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=743123916)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=738163218)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=743225848)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=739144074)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=744138694)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=740157292)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=745127559)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=740251702)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=745221162)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=741142350)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=746174219)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=742133860)"
"builtin_interfaces.msg.Time(sec=1734154472, nanosec=977185107)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.78  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.42,2.42,2.22,2.25,-41.10711054165563,-39.358604036944264,-43.899499388740466,-38.12890414086268,-45.209630453971776,-41.38991726370286,-48.89401863457417,-42.86619821489207,-45.66003196922387,-41.32968465907091,-46.222565085306584,-43.427907998825255,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=838469977)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=843105662)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=838281292)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=844205055)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=839154698)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=845172078)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=840246813)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=845321694)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=840161645)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=846565064)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=841215635)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=847233146)"
"builtin_interfaces.msg.Time(sec=1734154473, nanosec=77147855)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-41.081011577870406,-41.500280298650516,-47.55001009906623,-52.27387800130353,-49.77033355572125,-46.2886557753982,-46.04388497968466,-47.34358040393224,-42.09976865048595,-44.41699426428932,-48.13216979955854,-40.79849653865842,"builtin_interfaces.msg.Time(sec=1734154472, nanosec=943195509)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=938134210)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=943292886)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=939147850)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=944206173)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=940258320)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=945235633)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=940149945)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=945336168)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=941178906)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=946187915)","builtin_interfaces.msg.Time(sec=1734154472, nanosec=942109219)"
"builtin_interfaces.msg.Time(sec=1734154473, nanosec=178055012)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-41.933377902583125,-40.866051049616246,-41.8619344214709,-39.95095718745336,-45.93022350060703,-40.20000725225637,-39.178279512110706,-42.13609362017884,-36.260080828427995,-42.46502165398188,-38.08815328312062,-43.31623963308478,"builtin_interfaces.msg.Time(sec=1734154473, nanosec=38209133)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=43104723)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=38377267)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=44139826)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=39125108)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=45180592)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=40187165)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=45296030)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=40310523)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=46172759)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=41222185)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=47180464)"
"builtin_interfaces.msg.Time(sec=1734154473, nanosec=277098072)",[ 0.84 -7.68 -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.69 -6.21  0.86],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.3 ],[ 0.2  -6.14  0.58],[ 0.42 -5.96  1.32],[ 0.04 -5.79  1.24],[ 0.04 -5.78  1.24],[ 1.37 -6.01  1.33],[ 1.67 -5.83  0.94],2.83,2.38,1.92,2.06,1.96,2.14,1.78,2.23,2.41,2.42,2.22,2.25,-45.133429183112625,-44.7814689233803,-46.395236019559015,-46.63263215428402,-48.81814743144672,-41.84298899113875,-47.98617175204777,-46.46413747952604,-42.74889158779967,-45.872854483233596,-40.42774297851189,-45.45855668034751,"builtin_interfaces.msg.Time(sec=1734154473, nanosec=143099818)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=138139577)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=143224297)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=139189201)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=144087228)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=140213744)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=145130741)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=140334607)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=145264861)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=141178194)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=146140907)","builtin_interfaces.msg.Time(sec=1734154473, nanosec=142198587)"
